Title,Rating,Description,Country,Episodes,Year,Genre1,Genre2,Genre3,Genre4,Genre5,Genre6,Cast1,Cast2,Cast3,Cast4,Cast5,Cast6
The Disguiser ,3.0,focusing on a story of betrayal romance friendship familial ties behind the sinojapanese war ming tai is a man from a wealthy family who was trained as a spy and then became part of the communist party with his brother who is also a double spy agent they have to succeed in their infiltration and defeat their enemy based off the novel by zhang yong,chinese,48,2015,drama , action , adventure , drama , historical , war , sun meng jiazhu hui yinsupporting role, wang tian fengsupporting role, wang zhengguo qi yunsupporting role, wang hongadvisor linsupporting role, wang kaiah chengmain role, guo qi yunsupporting role
Shaolin Wendao ,3.0,a webdrama sets in ming dynasty during the rule of emperor jia jing tells a story about three sworn brothers one of them becomes the emperor another one becomes a general and the last becomes a monk after a tragedy befalling his family,chinese,42,2017,drama , drama , historical , chinese ,drama ,drama ,guo jing feimain role, guo xiao tingsupporting role, zhou yi weimain role,guo jing feimain role,guo jing feimain role,guo jing feimain role
The New Year's Eve of Old Lee ,3.0,when a fathers daughter returns home from beijing with her own daughter during chinese new year conflict breaks out across the three generations,chinese,106,2016,movie , comedy , drama , family , chinese ,movie , yan nilee yang duomain role, jing gangshanunknown role, liu vivienneunknown role, lian yi mingsupporting role, yan aaronpetermain role, zhao benshanold leemain role
I Love My President Though He's A Psycho ,3.0,shi xiao nian is a thirdrate cartoonist living an ordinary life until one day gong ou a rich ceo of an it company suffering from paranoid personality disorder captures her and asks her to return their child which she supposedly gave birth to 3 years before he utilizes every mean to force an answer and to pursue her including loweq techniques but as he faces her gentleness and courage they fall in love,chinese,10,2017,drama , romance , chinese ,drama ,drama ,drama ,zhu nicoleshi xiao nianmain role, yung yvonneluo qisupporting role, ye leifmu qian chusupporting role, pan zi jiangong oumain role,zhu nicoleshi xiao nianmain role,zhu nicoleshi xiao nianmain role
Taboo Terror of Going Back ,3.0,according to legend if you call your name in the middle of the night be sure to agree after the third sound otherwise it will get lost the village in the case of missing cases such a curse spread made,chinese,85,2017,movie , horror , chinese ,movie ,movie ,movie ,wang liangmain role,wang liangmain role,wang liangmain role,wang liangmain role,wang liangmain role,wang liangmain role
Blood of Youth ,3.0,zhejiang province in southern china in august 2006 in the yuancheng orphanage teenager su ang is beaten almost to death by bully da gui for defending his girlfriend lin qiao an orphan later lin qiao takes revenge on da gui luring him to a water tower ten years later they meet again,chinese,90,2016,movie , action , crime , suspense , youth , chinese ,ou haosu angmain role, zhang yizhang jian yusupporting role, yu nanhan yunsupporting role,ou haosu angmain role,ou haosu angmain role,ou haosu angmain role
My Heart Leaps Up ,3.0,in 1997 beijing 17 year old high school student liu wei wei focuses on what she thinks is important  her love for scrapbooking her passion for art leads her to seek the help of the schools art teacher mr zou ye who she asks for advice to perfect her craft but as they spend time together she begins to develop an uncontrollable crush on him immersing herself in her feelings even though she knows that nothing can happen between them she doesnt care if other people cant understand it especially her outgoing friends who she slowly attempts to distance herself from more devastatingly mr zou treats her like a normal student even though liu is desperate to save the love that was doomed from the start little does she know that hes been keeping a secret all along this is a lighthearted story that refuses to take itself too seriously and the result is a comingofage drama deals with teenage love as well as exploring the carefree and tangible nature of infatuation,chinese,95,2017,movie , drama , romance , chinese ,movie ,movie ,zhou chu chumain role, song ningmain role,zhou chu chumain role,zhou chu chumain role,zhou chu chumain role,zhou chu chumain role
Healing Master ,2.5,healing master is the sequel to the 2014 hit movie the breakup guru this time focusing on an office with the goal of bringing couples back together instead of breaking them up the story will mix romance with suspense in an exceptional way,chinese,46,2017,drama , comedy , drama , romance , chinese ,drama ,deng chaomei yuan guisupporting role, wang xiao chenmain role, li jiechen changunknown role, li jiechen changsupporting role, jia jerryli duanmain role,deng chaomei yuan guisupporting role
The First Half of My Life ,3.0,thirtysevenyearold zi jun leads a peaceful life as a housewife yet is unaware of the cracks in her marriage she is taken aback when her husband asks for a divorce and is unsuccessful in her attempts to save their relationship after an initial period of denial zi jun heads back into the workforce with the help of best friend tang jing and her boyfriend he han tang jing is an independent careeroriented woman and the way she deals with he hans romantic affections for zi jun will also be a major plot point in the drama  this is a drama adaption of yi shus novel of the same name,chinese,42,2017,drama , drama , friendship , romance , chinese ,drama ,ma li yiluo zi junmain role, wu vivianunknown role, yuan quantang jingmain role, lei jia yinmain role, jin donghe hanmain role, chen daomingunknown role
Ten Miles of Spring Wind Can't Compare to You ,3.0,based on a novel beijing beijing by feng tang his beloved whom he met at the med school in the 1990s as china continues to embrace and grapple with the global market economy qiu shui and his friends attend med school an ambition that has more to do with getting out of the country than with actually becoming doctors following the exploits of a young student and his classmates from drinking binges sex and playing video games all night to military training homework and collegeage high jinks beijing beijing provides an inventive hilarious and incisive look into how a culture and one man struggle to reconcile their past with the changes brought by modern times as the years pass and friends family and lovers move on qiu shui confronts the loneliness and confusion that define his generation,chinese,40,2017,drama , drama , romance , chinese ,drama ,drama ,hua jiaoliu ting tingsupporting role, zhou dongyuxiao hongmain role, zhang yi shanqiu shuimain role, qi xiliu qingsupporting role, you unazhao ying nanmain role,hua jiaoliu ting tingsupporting role
April Star ,2.5,its hard to date when your face is recognized everywhere ye fan xing is a famous television anchor who is instantly recognized wherever she goes she has been trying to be the best daughter to her mother after the devastating death of her younger sister in a car accident 10 years ago fan xing is in a secret relationship with successful businessman xiao han but they face many challenges to their relationship due to fan xings fame and other complications brought on by their families xiao hans nephew fu xia falls in love with fan xing only to find out that she is already dating his uncle meanwhile mi si yue becomes fan xings best friend but is secretly in love with xiao han when fan xing learns si yues true identity what will happen to her relationship and her family,chinese,42,2017,drama , drama , romance , chinese ,drama ,drama ,zuo hangapril minmain role, ren yan kaihu xiamain role, qi stephyye fan xingmain role, wu nickyxiao hanmain role,zuo hangapril minmain role,zuo hangapril minmain role
Memory Lost ,3.0,han shen bai jin xi and xu si bai recovery their memory xu si bai is the true identity of the sevenperson group leader will also be exposed seven groups were also black shield group break,chinese,36,2016,drama , detective , mystery , romance , chinese ,drama , bai whitehan chenmain role, jin hao chenfang xusupporting role, zhao yu xigu ransupporting role, nan fu longleng mian  chi chensupporting role, supporting role, liang arielxia zi qisupporting role
Fox in the Screen ,3.0,painter zheng xue jing accidentally acquires a magical pen and frees three foxes from a screen she becomes involved into their world because from that moment on shes their master,chinese,44,2016,drama , fantasy , historical , romance , supernatural , chinese ,long niyun taosupporting role, luo yunxiyu yanmain role, li xing youzhang qi mingsupporting role, hao ze jiaqiong huamain role, liu yangtaoist priest gui yuansupporting role, cui hansmu su yusupporting role
The Fatal Mission ,2.5,the fatal mission 怒江之战 is about a specialized team of wwii chinese expeditionary force on a top secret mission into savage mountain burma the mission is so secretive not even the team members know what it is about but after getting shot at by the japanese forces discovering american dead bodies in the middle of the forsaken jungle getting captured by the burmese natives and realizing there is a mole on their team they begin to piece together the true purpose of their mission,chinese,43,2016,drama , drama , melodrama , chinese ,drama ,drama ,jia qingliao yi fangmain role, sun seanzhao ban kuomain role,jia qingliao yi fangmain role,jia qingliao yi fangmain role,jia qingliao yi fangmain role,jia qingliao yi fangmain role
Hot Girl ,3.0,guan xiao di is a rebellious girl by chance she enrolled into a bodyguard training center and befriended an arrogant boy and four talented girls through the grueling training program she transformed into a legendary bodyguard,chinese,37,2016,drama , action , martial arts , military , romance , youth , wang yangcui tian qi supporting role, dilmurat dilrabaguan xiao dimain role, wang yangcui tian qi supporting role, wang yangcui tian qi supporting role, wang yangcui tian qi supporting role, wang yangcui tian qi supporting role
Sparrow ,3.0,this drama is set during the revolutionary time in shanghai based on a novel of the same name of hai fei during the republican revolution chen shen is a secret agent under special operations executive director bi zhongliang among the agents called sparrow,chinese,61,2016,drama , drama , historical , suspense , chinese ,drama ,zhang edwardbi zhong liangmain role, zhang ruo yuntang shan haimain role, zhou dongyuxu bi chengmain role, li xiao ranshen qiu xia role, yin andrewsu san xingmain role, kan adili xiao nanmain role
All Quiet in Peking ,3.0,directed by kong sheng and produced by hou hong liang who are famous for their work on titles such as battle of changsha and nirvana in fire while written by screen writer liu he ping the drama is set during 1948 during an economically difficult time,chinese,53,2014,drama , drama , historical , chinese ,drama ,drama , wang yong quanlao liu, jiao huanghe qi cangsupporting role, wang jin songwang pu chensupporting role, dong yongceng ke daunknown role, liu yefang meng aomain role, liao fanliang jing lunmain role
